,id,zipcode,season,price_median_region,price_median_season,price,recommendation_price,profit
384,1454100480,98125,summer,425000.0,423500.0,378500.0,492050.0,113550.0
396,4427100025,98125,spring,425000.0,410000.0,270000.0,351000.0,81000.0
400,6381500065,98125,summer,425000.0,423500.0,376500.0,489450.0,112950.0
415,5272200040,98125,fall,425000.0,431750.0,375000.0,487500.0,112500.0
429,3992700775,98125,winter,425000.0,430000.0,410000.0,533000.0,123000.0
453,6413100311,98125,summer,425000.0,423500.0,390000.0,507000.0,117000.0
460,7663700783,98125,summer,425000.0,423500.0,369500.0,480350.0,110850.0
491,3992700326,98125,summer,425000.0,423500.0,380000.0,494000.0,114000.0
493,3448002267,98125,spring,425000.0,410000.0,385000.0,500500.0,115500.0
504,7663700772,98125,winter,425000.0,430000.0,370000.0,481000.0,111000.0
514,6414100133,98125,spring,425000.0,410000.0,337000.0,438100.0,101100.0
526,705000120,98125,spring,425000.0,410000.0,395000.0,513500.0,118500.0
550,8820903560,98125,winter,425000.0,430000.0,380000.0,494000.0,114000.0
554,6413600285,98125,summer,425000.0,423500.0,402000.0,522600.0,120600.0
557,3834500170,98125,winter,425000.0,430000.0,375000.0,487500.0,112500.0
569,8632100010,98125,summer,425000.0,423500.0,365000.0,474500.0,109500.0
579,751000190,98125,fall,425000.0,431750.0,355000.0,461500.0,106500.0
581,9421500130,98125,summer,425000.0,423500.0,378000.0,491400.0,113400.0
584,8901000491,98125,summer,425000.0,423500.0,390000.0,507000.0,117000.0
603,6381500265,98125,summer,425000.0,423500.0,397000.0,516100.0,119100.0
615,9324800025,98125,fall,425000.0,431750.0,325500.0,423150.0,97650.0
616,4077800258,98125,fall,425000.0,431750.0,400000.0,520000.0,120000.0
621,3822200087,98125,spring,425000.0,410000.0,355000.0,461500.0,106500.0
628,8822900115,98125,winter,425000.0,430000.0,306000.0,397800.0,91800.0
633,5667100025,98125,summer,425000.0,423500.0,405000.0,526500.0,121500.0
634,6381500110,98125,winter,425000.0,430000.0,330000.0,429000.0,99000.0
662,114101516,98028,spring,442500.0,445500.0,310000.0,403000.0,93000.0
665,5634500392,98028,spring,442500.0,445500.0,330000.0,429000.0,99000.0
666,3649100320,98028,spring,442500.0,445500.0,330000.0,429000.0,99000.0
669,8718500075,98028,fall,442500.0,451125.0,396000.0,514800.0,118800.0
676,4140900140,98028,spring,442500.0,445500.0,438000.0,569400.0,131400.0
687,7297700055,98028,spring,442500.0,445500.0,306000.0,397800.0,91800.0
708,2570500090,98028,fall,442500.0,451125.0,385000.0,500500.0,115500.0
709,3649100315,98028,summer,442500.0,425000.0,418800.0,544440.0,125640.0
710,3949600090,98028,winter,442500.0,446500.0,335000.0,435500.0,100500.0
711,6179900090,98028,spring,442500.0,445500.0,415000.0,539500.0,124500.0
715,8718500495,98028,summer,442500.0,425000.0,375000.0,487500.0,112500.0
743,3582750280,98028,spring,442500.0,445500.0,347000.0,451100.0,104100.0
749,3582750170,98028,spring,442500.0,445500.0,410000.0,533000.0,123000.0
752,5628400080,98028,winter,442500.0,446500.0,420000.0,546000.0,126000.0
760,3824100235,98028,summer,442500.0,425000.0,425000.0,637500.0,212500.0
763,3649100306,98028,spring,442500.0,445500.0,379900.0,493870.0,113970.0
765,3579700100,98028,spring,442500.0,445500.0,389000.0,505700.0,116700.0
776,3815500035,98028,spring,442500.0,445500.0,385000.0,500500.0,115500.0
782,2570500230,98028,spring,442500.0,445500.0,400000.0,520000.0,120000.0
783,3649100276,98028,summer,442500.0,425000.0,368000.0,478400.0,110400.0
797,1357300240,98028,fall,442500.0,451125.0,333500.0,433550.0,100050.0
809,3816300105,98028,winter,442500.0,446500.0,435000.0,565500.0,130500.0
816,3818700016,98028,fall,442500.0,451125.0,434000.0,564200.0,130200.0
819,114100354,98028,winter,442500.0,446500.0,249000.0,323700.0,74700.0
834,3582750120,98028,summer,442500.0,425000.0,409000.0,531700.0,122700.0
851,5631500905,98028,summer,442500.0,425000.0,272925.0,354802.5,81877.5
853,114100297,98028,fall,442500.0,451125.0,400000.0,520000.0,120000.0
858,5634500182,98028,summer,442500.0,425000.0,396000.0,514800.0,118800.0
860,114101426,98028,summer,442500.0,425000.0,375000.0,487500.0,112500.0
863,8045600130,98028,spring,442500.0,445500.0,425000.0,552500.0,127500.0
870,4140500050,98028,fall,442500.0,451125.0,362000.0,470600.0,108600.0
878,3818700190,98028,winter,442500.0,446500.0,387846.0,504199.8,116353.8
880,3649100346,98028,winter,442500.0,446500.0,322968.0,419858.4,96890.4
881,4189800050,98028,spring,442500.0,445500.0,335000.0,435500.0,100500.0
883,766900250,98028,spring,442500.0,445500.0,406000.0,527800.0,121800.0
885,3818700185,98028,fall,442500.0,451125.0,400000.0,520000.0,120000.0
886,6181700250,98028,winter,442500.0,446500.0,350000.0,455000.0,105000.0
890,3579800405,98028,summer,442500.0,425000.0,440000.0,660000.0,220000.0
892,3649100031,98028,spring,442500.0,445500.0,345000.0,448500.0,103500.0
903,5631501161,98028,spring,442500.0,445500.0,425000.0,552500.0,127500.0
906,3824100211,98028,summer,442500.0,425000.0,370000.0,481000.0,111000.0
910,8718500610,98028,spring,442500.0,445500.0,379950.0,493935.0,113985.0
946,9238901420,98136,winter,489950.0,487450.0,442000.0,574600.0,132600.0
952,7625701891,98136,summer,489950.0,440000.0,435000.0,565500.0,130500.0
962,3013301525,98136,fall,489950.0,476050.0,453500.0,589550.0,136050.0
965,2493200435,98136,summer,489950.0,440000.0,360000.0,468000.0,108000.0
982,2594200375,98136,spring,489950.0,535000.0,427500.0,555750.0,128250.0
984,9417400215,98136,summer,489950.0,440000.0,363000.0,471900.0,108900.0
990,3522900061,98136,spring,489950.0,535000.0,418000.0,543400.0,125400.0
994,2461900945,98136,spring,489950.0,535000.0,438000.0,569400.0,131400.0
1011,7625703637,98136,summer,489950.0,440000.0,286000.0,371800.0,85800.0
1019,7626200280,98136,fall,489950.0,476050.0,425000.0,552500.0,127500.0
1021,7104100050,98136,summer,489950.0,440000.0,485000.0,727500.0,242500.0
1026,3013300968,98136,summer,489950.0,440000.0,416500.0,541450.0,124950.0
1033,4315700175,98136,summer,489950.0,440000.0,440000.0,660000.0,220000.0
1041,7104100065,98136,fall,489950.0,476050.0,425000.0,552500.0,127500.0
1052,312000295,98136,winter,489950.0,487450.0,400000.0,520000.0,120000.0
1066,5705500075,98136,spring,489950.0,535000.0,388000.0,504400.0,116400.0
1068,1090000075,98136,winter,489950.0,487450.0,393000.0,510900.0,117900.0
1074,4322200105,98136,spring,489950.0,535000.0,229050.0,297765.0,68715.0
1076,2594200350,98136,spring,489950.0,535000.0,445000.0,578500.0,133500.0
1081,3560800040,98136,fall,489950.0,476050.0,400000.0,520000.0,120000.0
1082,7625703405,98136,fall,489950.0,476050.0,431000.0,560300.0,129300.0
1083,2810100040,98136,spring,489950.0,535000.0,485000.0,630500.0,145500.0
1094,7625703065,98136,summer,489950.0,440000.0,375000.0,487500.0,112500.0
1095,9100000040,98136,summer,489950.0,440000.0,480000.0,720000.0,240000.0
1112,3123800080,98136,fall,489950.0,476050.0,365000.0,474500.0,109500.0
1115,7625701900,98136,winter,489950.0,487450.0,467500.0,607750.0,140250.0
1120,826000480,98136,summer,489950.0,440000.0,448500.0,672750.0,224250.0
1131,7626200235,98136,spring,489950.0,535000.0,464600.0,603980.0,139380.0
1135,2815600235,98136,spring,489950.0,535000.0,450600.0,585780.0,135180.0
1165,9557200090,98136,fall,489950.0,476050.0,399000.0,518700.0,119700.0
1182,3524039228,98136,summer,489950.0,440000.0,394000.0,512200.0,118200.0
1207,6054650070,98074,fall,645000.0,652495.0,400000.0,520000.0,120000.0
1250,6054650510,98074,summer,645000.0,635000.0,347000.0,451100.0,104100.0
1256,8644400060,98074,fall,645000.0,652495.0,568000.0,738400.0,170400.0
1263,7715801040,98074,winter,645000.0,648713.5,465000.0,604500.0,139500.0
1272,7504400850,98074,spring,645000.0,653200.0,442000.0,574600.0,132600.0
1276,1925069006,98074,winter,645000.0,648713.5,355000.0,461500.0,106500.0
1280,1825069031,98074,summer,645000.0,635000.0,550000.0,715000.0,165000.0
1297,6817800630,98074,spring,645000.0,653200.0,385000.0,500500.0,115500.0
1314,3578401060,98074,winter,645000.0,648713.5,345000.0,448500.0,103500.0
1342,2872900280,98074,spring,645000.0,653200.0,540000.0,702000.0,162000.0
1344,8078410280,98074,spring,645000.0,653200.0,550000.0,715000.0,165000.0
1346,6817801150,98074,spring,645000.0,653200.0,555000.0,721500.0,166500.0
1348,3578400780,98074,spring,645000.0,653200.0,508800.0,661440.0,152640.0
1358,3575303970,98074,summer,645000.0,635000.0,340000.0,442000.0,102000.0
1362,3575304895,98074,fall,645000.0,652495.0,406550.0,528515.0,121965.0
1365,7504001080,98074,spring,645000.0,653200.0,590000.0,767000.0,177000.0
1370,8562901250,98074,summer,645000.0,635000.0,516000.0,670800.0,154800.0
1374,6600220150,98074,spring,645000.0,653200.0,549950.0,714935.0,164985.0
1379,3325069060,98074,fall,645000.0,652495.0,510000.0,663000.0,153000.0
1387,8644400040,98074,summer,645000.0,635000.0,605000.0,786500.0,181500.0
1388,7715801030,98074,spring,645000.0,653200.0,510000.0,663000.0,153000.0
1420,8562900310,98074,summer,645000.0,635000.0,615000.0,799500.0,184500.0
1429,7504180070,98074,fall,645000.0,652495.0,577000.0,750100.0,173100.0
1437,3575301550,98074,spring,645000.0,653200.0,560000.0,728000.0,168000.0
1452,3575200030,98074,summer,645000.0,635000.0,549000.0,713700.0,164700.0
1481,8562900180,98074,spring,645000.0,653200.0,491300.0,638690.0,147390.0
1482,1939120540,98074,summer,645000.0,635000.0,640000.0,960000.0,320000.0
1500,8562901830,98074,summer,645000.0,635000.0,454800.0,591240.0,136440.0
1518,8653600050,98074,winter,645000.0,648713.5,572000.0,743600.0,171600.0
1520,3575302880,98074,fall,645000.0,652495.0,339300.0,441090.0,101790.0
1536,3575304017,98074,summer,645000.0,635000.0,315000.0,409500.0,94500.0
1558,3575302759,98074,summer,645000.0,635000.0,365000.0,474500.0,109500.0
1590,6600220300,98074,fall,645000.0,652495.0,600000.0,780000.0,180000.0
1593,3575303700,98074,summer,645000.0,635000.0,324950.0,422435.0,97485.0
1599,3578401210,98074,winter,645000.0,648713.5,557000.0,724100.0,167100.0
1600,8562901010,98074,fall,645000.0,652495.0,505000.0,656500.0,151500.0
1700,8121610110,98053,spring,635000.0,610000.0,521000.0,677300.0,156300.0
1774,203100460,98053,fall,635000.0,599000.0,400000.0,520000.0,120000.0
1805,1525069058,98053,summer,635000.0,699000.0,568000.0,738400.0,170400.0
1822,8807600140,98053,spring,635000.0,610000.0,405000.0,526500.0,121500.0
1826,203100435,98053,fall,635000.0,599000.0,484000.0,629200.0,145200.0
1918,8807300130,98053,winter,635000.0,620000.0,330000.0,429000.0,99000.0
1936,7511200190,98053,fall,635000.0,599000.0,580000.0,754000.0,174000.0
1944,8807810660,98053,spring,635000.0,610000.0,350000.0,455000.0,105000.0
1961,203900610,98053,summer,635000.0,699000.0,339000.0,440700.0,101700.0
1967,8807810090,98053,fall,635000.0,599000.0,335000.0,435500.0,100500.0
1968,9508850120,98053,summer,635000.0,699000.0,602000.0,782600.0,180600.0
2044,7983200060,98003,spring,266500.0,279000.0,230000.0,299000.0,69000.0
2045,921049315,98003,summer,266500.0,271000.0,199000.0,258700.0,59700.0
2049,3584000310,98003,winter,266500.0,265500.0,225000.0,292500.0,67500.0
2050,1745100140,98003,fall,266500.0,250000.0,210000.0,273000.0,63000.0
2052,7511800070,98003,summer,266500.0,271000.0,264000.0,343200.0,79200.0
2055,7203000640,98003,fall,266500.0,250000.0,215000.0,279500.0,64500.0
2056,2329500260,98003,summer,266500.0,271000.0,232500.0,302250.0,69750.0
2057,421049116,98003,winter,266500.0,265500.0,216000.0,280800.0,64800.0
2061,7683800192,98003,fall,266500.0,250000.0,179950.0,233935.0,53985.0
2065,7203000465,98003,fall,266500.0,250000.0,245000.0,318500.0,73500.0
2077,4322300340,98003,winter,266500.0,265500.0,265000.0,344500.0,79500.0
2080,2268000370,98003,summer,266500.0,271000.0,190000.0,247000.0,57000.0
2082,2190601049,98003,spring,266500.0,279000.0,212000.0,275600.0,63600.0
2083,4131500140,98003,winter,266500.0,265500.0,175000.0,227500.0,52500.0
2100,5151600480,98003,spring,266500.0,279000.0,248000.0,322400.0,74400.0
2107,1140000050,98003,fall,266500.0,250000.0,215000.0,279500.0,64500.0
2111,2268000470,98003,winter,266500.0,265500.0,241500.0,313950.0,72450.0
2115,7875400050,98003,summer,266500.0,271000.0,212000.0,275600.0,63600.0
2116,3391900130,98003,fall,266500.0,250000.0,258750.0,388125.0,129375.0
2119,2268000050,98003,summer,266500.0,271000.0,229900.0,298870.0,68970.0
2120,2191600780,98003,fall,266500.0,250000.0,219000.0,284700.0,65700.0
2121,4222310290,98003,summer,266500.0,271000.0,253000.0,328900.0,75900.0
2128,2345500010,98003,fall,266500.0,250000.0,210500.0,273650.0,63150.0
2135,7941600220,98003,summer,266500.0,271000.0,219900.0,285870.0,65970.0
2160,5149800040,98003,fall,266500.0,250000.0,255000.0,382500.0,127500.0
2164,3275310220,98003,winter,266500.0,265500.0,244000.0,317200.0,73200.0
2185,4322300140,98003,fall,266500.0,250000.0,265000.0,397500.0,132500.0
2191,7941600390,98003,summer,266500.0,271000.0,225000.0,292500.0,67500.0
2198,2821049082,98003,winter,266500.0,265500.0,225000.0,292500.0,67500.0
2202,537000416,98003,spring,266500.0,279000.0,250000.0,325000.0,75000.0
2203,3275300270,98003,summer,266500.0,271000.0,250000.0,325000.0,75000.0
2204,103400160,98003,spring,266500.0,279000.0,263000.0,341900.0,78900.0
2209,7466900320,98003,spring,266500.0,279000.0,242000.0,314600.0,72600.0
2210,7682200320,98003,spring,266500.0,279000.0,197400.0,256620.0,59220.0
2219,9315100210,98003,winter,266500.0,265500.0,227490.0,295737.0,68247.0
2220,2329600040,98003,fall,266500.0,250000.0,158000.0,205400.0,47400.0
2229,3375300360,98003,summer,266500.0,271000.0,217500.0,282750.0,65250.0
2230,2190600243,98003,fall,266500.0,250000.0,210000.0,273000.0,63000.0
2232,4222310220,98003,summer,266500.0,271000.0,235500.0,306150.0,70650.0
2236,7683800212,98003,winter,266500.0,265500.0,229000.0,297700.0,68700.0
2237,2268000180,98003,spring,266500.0,279000.0,230000.0,299000.0,69000.0
2242,2501600150,98003,spring,266500.0,279000.0,194000.0,252200.0,58200.0
2247,4222310010,98003,winter,266500.0,265500.0,152500.0,198250.0,45750.0
2255,2329600280,98003,winter,266500.0,265500.0,225900.0,293670.0,67770.0
2258,7683800010,98003,spring,266500.0,279000.0,205000.0,266500.0,61500.0
2260,7943000020,98003,spring,266500.0,279000.0,183000.0,237900.0,54900.0
2266,271200130,98003,fall,266500.0,250000.0,215000.0,279500.0,64500.0
2267,7984400005,98003,summer,266500.0,271000.0,253500.0,329550.0,76050.0
2274,4222310680,98003,fall,266500.0,250000.0,240000.0,312000.0,72000.0
2297,3584000180,98003,spring,266500.0,279000.0,253400.0,329420.0,76020.0
2301,643000110,98003,spring,266500.0,279000.0,247500.0,321750.0,74250.0
2304,1745000090,98003,fall,266500.0,250000.0,208000.0,270400.0,62400.0
2305,7575600610,98003,winter,266500.0,265500.0,265000.0,344500.0,79500.0
2310,5153900150,98003,summer,266500.0,271000.0,205000.0,266500.0,61500.0
2320,3530510041,98198,summer,265000.0,262000.0,188500.0,245050.0,56550.0
2323,8644000060,98198,fall,265000.0,266125.0,237000.0,308100.0,71100.0
2325,2008200060,98198,summer,265000.0,262000.0,160000.0,208000.0,48000.0
2329,3530490070,98198,summer,265000.0,262000.0,210000.0,273000.0,63000.0
2340,3445000274,98198,spring,265000.0,265000.0,170000.0,221000.0,51000.0
2351,1697000370,98198,spring,265000.0,265000.0,234000.0,304200.0,70200.0
2352,6889000060,98198,winter,265000.0,267475.0,225000.0,292500.0,67500.0
2353,2946000751,98198,summer,265000.0,262000.0,230000.0,299000.0,69000.0
2359,3530530110,98198,winter,265000.0,267475.0,149900.0,194870.0,44970.0
2372,3530540090,98198,fall,265000.0,266125.0,245000.0,318500.0,73500.0
2373,2013800705,98198,fall,265000.0,266125.0,239000.0,310700.0,71700.0
2377,3530450100,98198,summer,265000.0,262000.0,210000.0,273000.0,63000.0
2379,2946001645,98198,spring,265000.0,265000.0,232000.0,301600.0,69600.0
2384,7686203275,98198,winter,265000.0,267475.0,140000.0,182000.0,42000.0
2388,9536601045,98198,spring,265000.0,265000.0,227500.0,295750.0,68250.0
2394,3530470190,98198,spring,265000.0,265000.0,220000.0,286000.0,66000.0
2398,7893808220,98198,summer,265000.0,262000.0,250000.0,325000.0,75000.0
2407,2946000912,98198,fall,265000.0,266125.0,212500.0,276250.0,63750.0
2408,3530500010,98198,fall,265000.0,266125.0,176000.0,228800.0,52800.0
2411,2946000285,98198,spring,265000.0,265000.0,200000.0,260000.0,60000.0
2412,2946001950,98198,spring,265000.0,265000.0,248000.0,322400.0,74400.0
2425,1022049182,98198,spring,265000.0,265000.0,175000.0,227500.0,52500.0
2430,2122049013,98198,spring,265000.0,265000.0,204750.0,266175.0,61425.0
2431,7686203195,98198,spring,265000.0,265000.0,249950.0,324935.0,74985.0
2432,3530490031,98198,fall,265000.0,266125.0,202200.0,262860.0,60660.0
2441,6052401215,98198,summer,265000.0,262000.0,255000.0,331500.0,76500.0
2447,3530420110,98198,spring,265000.0,265000.0,195000.0,253500.0,58500.0
2455,7522600030,98198,summer,265000.0,262000.0,251000.0,326300.0,75300.0
2457,7888300340,98198,fall,265000.0,266125.0,216000.0,280800.0,64800.0
2465,3530490160,98198,summer,265000.0,262000.0,178500.0,232050.0,53550.0
2467,7888100240,98198,winter,265000.0,267475.0,245000.0,318500.0,73500.0
2479,2011400520,98198,summer,265000.0,262000.0,240000.0,312000.0,72000.0
2480,1953400510,98198,summer,265000.0,262000.0,199950.0,259935.0,59985.0
2481,6929604005,98198,fall,265000.0,266125.0,240000.0,312000.0,72000.0
2482,7686202065,98198,summer,265000.0,262000.0,170000.0,221000.0,51000.0
2483,7888200140,98198,summer,265000.0,262000.0,250000.0,325000.0,75000.0
2486,7686203385,98198,spring,265000.0,265000.0,204000.0,265200.0,61200.0
2492,9536601996,98198,summer,265000.0,262000.0,149500.0,194350.0,44850.0
2502,7524200180,98198,fall,265000.0,266125.0,207000.0,269100.0,62100.0
2508,3530430155,98198,spring,265000.0,265000.0,168000.0,218400.0,50400.0
2515,7686204675,98198,winter,265000.0,267475.0,248000.0,322400.0,74400.0
2524,2013801086,98198,spring,265000.0,265000.0,245000.0,318500.0,73500.0
2540,7686203180,98198,summer,265000.0,262000.0,172500.0,224250.0,51750.0
2541,7893206305,98198,fall,265000.0,266125.0,245000.0,318500.0,73500.0
2543,7686202635,98198,summer,265000.0,262000.0,185000.0,240500.0,55500.0
2546,3445000005,98198,fall,265000.0,266125.0,237600.0,308880.0,71280.0
2547,3530420020,98198,summer,265000.0,262000.0,162950.0,211835.0,48885.0
2554,6929603207,98198,winter,265000.0,267475.0,243500.0,316550.0,73050.0
2555,3530430100,98198,summer,265000.0,262000.0,187000.0,243100.0,56100.0
2556,2946001675,98198,summer,265000.0,262000.0,234000.0,304200.0,70200.0
2577,9456200405,98198,spring,265000.0,265000.0,205950.0,267735.0,61785.0
2579,3530410081,98198,summer,265000.0,262000.0,216500.0,281450.0,64950.0
2606,84000335,98146,summer,309000.0,283750.0,225000.0,292500.0,67500.0
2656,7520000440,98146,winter,309000.0,286700.0,214000.0,278200.0,64200.0
2668,6341000221,98146,spring,309000.0,334995.0,287000.0,373100.0,86100.0
2680,7454001060,98146,spring,309000.0,334995.0,295000.0,383500.0,88500.0
2682,3275800050,98146,fall,309000.0,271000.0,242000.0,314600.0,72600.0
2689,123039424,98146,summer,309000.0,283750.0,303000.0,454500.0,151500.0
2710,6303400981,98146,winter,309000.0,286700.0,190000.0,247000.0,57000.0
2713,8103000110,98146,summer,309000.0,283750.0,280000.0,364000.0,84000.0
2732,6303400520,98146,winter,309000.0,286700.0,265000.0,344500.0,79500.0
2733,1823049046,98146,summer,309000.0,283750.0,240000.0,312000.0,72000.0
2751,7454001120,98146,winter,309000.0,286700.0,285950.0,371735.0,85785.0
2755,723049448,98146,summer,309000.0,283750.0,279500.0,363350.0,83850.0
2758,1591600676,98146,spring,309000.0,334995.0,246000.0,319800.0,73800.0
2766,3841600220,98146,summer,309000.0,283750.0,282500.0,367250.0,84750.0
2767,3744600704,98146,winter,309000.0,286700.0,270000.0,351000.0,81000.0
2773,7211401485,98146,summer,309000.0,283750.0,285000.0,427500.0,142500.0
2778,7889602020,98146,summer,309000.0,283750.0,240000.0,312000.0,72000.0
2790,6303401150,98146,fall,309000.0,271000.0,125000.0,162500.0,37500.0
2811,7889600080,98146,winter,309000.0,286700.0,208000.0,270400.0,62400.0
2840,7907600100,98146,spring,309000.0,334995.0,287500.0,373750.0,86250.0
2854,9357000230,98146,summer,309000.0,283750.0,267000.0,347100.0,80100.0
2879,722079104,98038,summer,342000.0,339989.0,314000.0,408200.0,94200.0
2880,2525310310,98038,fall,342000.0,347500.0,272500.0,354250.0,81750.0
2893,1545808560,98038,spring,342000.0,349975.0,245000.0,318500.0,73500.0
2895,2525300030,98038,winter,342000.0,336500.0,232000.0,301600.0,69600.0
2899,222069082,98038,winter,342000.0,336500.0,300000.0,390000.0,90000.0
2906,2322069114,98038,fall,342000.0,347500.0,287653.0,373948.9,86295.9
2908,2310000240,98038,spring,342000.0,349975.0,275000.0,357500.0,82500.0
2911,7437100570,98038,summer,342000.0,339989.0,291000.0,378300.0,87300.0
2913,2025700860,98038,spring,342000.0,349975.0,287000.0,373100.0,86100.0
2920,922069139,98038,spring,342000.0,349975.0,260000.0,338000.0,78000.0
2930,1545807990,98038,winter,342000.0,336500.0,315000.0,409500.0,94500.0
2935,2525300550,98038,summer,342000.0,339989.0,225000.0,292500.0,67500.0
2943,2215902010,98038,spring,342000.0,349975.0,275000.0,357500.0,82500.0
2971,6399600115,98038,fall,342000.0,347500.0,279000.0,362700.0,83700.0
2987,1545805820,98038,spring,342000.0,349975.0,274000.0,356200.0,82200.0
2993,2525300480,98038,spring,342000.0,349975.0,224975.0,292467.5,67492.5
3000,2025700130,98038,winter,342000.0,336500.0,269950.0,350935.0,80985.0
3014,2025700080,98038,summer,342000.0,339989.0,265000.0,344500.0,79500.0
3038,2310000430,98038,spring,342000.0,349975.0,284000.0,369200.0,85200.0
3049,1545802850,98038,fall,342000.0,347500.0,286000.0,371800.0,85800.0
3050,2310000380,98038,winter,342000.0,336500.0,269950.0,350935.0,80985.0
3058,2310000280,98038,winter,342000.0,336500.0,275000.0,357500.0,82500.0
3064,2085200545,98038,summer,342000.0,339989.0,180000.0,234000.0,54000.0
3069,2025700430,98038,summer,342000.0,339989.0,269500.0,350350.0,80850.0
3070,1545803340,98038,winter,342000.0,336500.0,269000.0,349700.0,80700.0
3072,2525300380,98038,spring,342000.0,349975.0,260656.0,338852.8,78196.8
3075,1545803980,98038,spring,342000.0,349975.0,239000.0,310700.0,71700.0
3081,2525310040,98038,winter,342000.0,336500.0,206000.0,267800.0,61800.0
3087,1545803520,98038,winter,342000.0,336500.0,251000.0,326300.0,75300.0
3092,1545807810,98038,fall,342000.0,347500.0,118000.0,153400.0,35400.0
3094,1545801970,98038,spring,342000.0,349975.0,250000.0,325000.0,75000.0
3104,4396000530,98038,summer,342000.0,339989.0,290000.0,377000.0,87000.0
3126,2215900180,98038,summer,342000.0,339989.0,270000.0,351000.0,81000.0
3146,2215900800,98038,summer,342000.0,339989.0,290000.0,377000.0,87000.0
3156,2025701360,98038,fall,342000.0,347500.0,260000.0,338000.0,78000.0
3162,4123800260,98038,fall,342000.0,347500.0,257700.0,335010.0,77310.0
3168,2310030390,98038,spring,342000.0,349975.0,275000.0,357500.0,82500.0
3176,2525300200,98038,spring,342000.0,349975.0,215000.0,279500.0,64500.0
3189,2525310320,98038,fall,342000.0,347500.0,290000.0,377000.0,87000.0
3196,2215901230,98038,spring,342000.0,349975.0,254000.0,330200.0,76200.0
3202,2025700200,98038,winter,342000.0,336500.0,265000.0,344500.0,79500.0
3209,2025700270,98038,winter,342000.0,336500.0,260250.0,338325.0,78075.0
3219,1022069050,98038,winter,342000.0,336500.0,207000.0,269100.0,62100.0
3225,2025701530,98038,summer,342000.0,339989.0,282000.0,366600.0,84600.0
